PK,SK,GSI1PK,GSI1SK,type,title,description,content,coverImage,publishedAt,updatedAt,status,categoryID,categoryName,tagName,articleCount
article,a#1001,article,2023-12-01T10:00:00Z,article,DynamoDBの基本,DynamoDBの基本概念について説明します,DynamoDBはAWSが提供するNoSQLデータベースサービスです...,images/dynamodb-basics.jpg,2023-12-01T10:00:00Z,2023-12-01T10:00:00Z,published,c001,,,
article,a#1001#category,c#c001,2023-12-01T10:00:00Z,article,DynamoDBの基本,DynamoDBの基本概念について説明します,DynamoDBはAWSが提供するNoSQLデータベースサービスです...,images/dynamodb-basics.jpg,2023-12-01T10:00:00Z,2023-12-01T10:00:00Z,published,c001,データベース,,
article,a#1002,article,2023-12-05T14:30:00Z,article,シングルテーブル設計のメリット,DynamoDBのシングルテーブル設計のメリットについて,シングルテーブル設計は効率的なクエリを可能にします...,images/single-table.jpg,2023-12-05T14:30:00Z,2023-12-05T15:45:00Z,published,c001,,,
article,a#1002#category,c#c001,2023-12-05T14:30:00Z,article,シングルテーブル設計のメリット,DynamoDBのシングルテーブル設計のメリットについて,シングルテーブル設計は効率的なクエリを可能にします...,images/single-table.jpg,2023-12-05T14:30:00Z,2023-12-05T15:45:00Z,published,c001,データベース,,
article,a#1003,article,2023-12-10T09:15:00Z,article,Next.jsとVercelのデプロイ,Next.jsアプリケーションをVercelにデプロイする方法,VercelはNext.jsアプリケーションのデプロイを簡単にします...,images/nextjs-vercel.jpg,2023-12-10T09:15:00Z,2023-12-10T09:15:00Z,published,c002,,,
article,a#1003#category,c#c002,2023-12-10T09:15:00Z,article,Next.jsとVercelのデプロイ,Next.jsアプリケーションをVercelにデプロイする方法,VercelはNext.jsアプリケーションのデプロイを簡単にします...,images/nextjs-vercel.jpg,2023-12-10T09:15:00Z,2023-12-10T09:15:00Z,published,c002,フロントエンド,,
article,a#1004,article,2023-11-15T08:30:00Z,article,ReactとTypeScriptの始め方,ReactとTypeScriptを使った開発の基本,ReactとTypeScriptを組み合わせると型安全なコンポーネント開発が可能になります...,images/react-typescript.jpg,2023-11-15T08:30:00Z,2023-11-15T10:20:00Z,published,c002,,,
article,a#1004#category,c#c002,2023-11-15T08:30:00Z,article,ReactとTypeScriptの始め方,ReactとTypeScriptを使った開発の基本,ReactとTypeScriptを組み合わせると型安全なコンポーネント開発が可能になります...,images/react-typescript.jpg,2023-11-15T08:30:00Z,2023-11-15T10:20:00Z,published,c002,フロントエンド,,
article,a#1005,article,2024-01-05T11:20:00Z,article,AWSのサーバーレスアーキテクチャ,AWSを使ったサーバーレスアプリケーションの構築方法,Lambda、API Gateway、DynamoDBを組み合わせたサーバーレスアーキテクチャについて解説します...,images/aws-serverless.jpg,2024-01-05T11:20:00Z,2024-01-05T11:20:00Z,published,c003,,,
article,a#1005#category,c#c003,2024-01-05T11:20:00Z,article,AWSのサーバーレスアーキテクチャ,AWSを使ったサーバーレスアプリケーションの構築方法,Lambda、API Gateway、DynamoDBを組み合わせたサーバーレスアーキテクチャについて解説します...,images/aws-serverless.jpg,2024-01-05T11:20:00Z,2024-01-05T11:20:00Z,published,c003,サーバーレス,,
article,a#1006,article,2024-01-10T16:45:00Z,article,GraphQLの基礎と実践,GraphQLを使ったAPIの設計と実装,GraphQLはRESTに代わる新しいAPI設計パラダイムです...,images/graphql.jpg,2024-01-10T16:45:00Z,2024-01-12T09:30:00Z,draft,c004,,,
article,a#1006#category,c#c004,2024-01-10T16:45:00Z,article,GraphQLの基礎と実践,GraphQLを使ったAPIの設計と実装,GraphQLはRESTに代わる新しいAPI設計パラダイムです...,images/graphql.jpg,2024-01-10T16:45:00Z,2024-01-12T09:30:00Z,draft,c004,APIデザイン,,
